球団名,No.,投手,生年月日,身長,体重,投,打,備考,ポジション,区分,更新日,背番号,1軍
横浜DeNAベイスターズ,55,井上 絢登,2000.02.23,178,90,右,左,,外野手,支配下,2026/4/7,55,
横浜DeNAベイスターズ,58,梶原 昂希,1999.09.19,189,90,右,左,,外野手,支配下,2026/4/7,58,TRUE
横浜DeNAベイスターズ,61,蝦名 達夫,1997.09.20,185,93,右,右,,外野手,支配下,2026/4/7,61,TRUE
横浜DeNAベイスターズ,63,関根 大気,1995.06.28,173,78,左,左,,外野手,支配下,2026/4/7,63,
横浜DeNAベイスターズ,67,濱 将乃介,2000.05.03,181,83,右,左,,外野手,支配下,2026/4/7,67,
横浜DeNAベイスターズ,69,エンカーナシオン,1997.10.22,193,113,右,右,6/16 支配下選手登録,外野手,支配下,2026/4/7,69,
横浜DeNAベイスターズ,99,ヒュンメル,1994.11.28,175,89,右,左右,,外野手,支配下,2026/4/7,99,
横浜DeNAベイスターズ,52,浜地 真澄,1998.05.25,185,88,右,右,,投手,育成,2026/4/7,052,
横浜DeNAベイスターズ,102,清水 麻成,2005.10.06,187,84,右,右,,投手,育成,2026/4/7,102,
横浜DeNAベイスターズ,103,金渕 光希,2006.10.01,184,90,左,左,,投手,育成,2026/4/7,103,
横浜DeNAベイスターズ,111,吉岡 暖,2006.08.28,182,88,右,右,,投手,育成,2026/4/7,111,
横浜DeNAベイスターズ,115,馬場 皐輔,1995.05.18,180,97,右,右,,投手,育成,2026/4/7,115,
横浜DeNAベイスターズ,136,森下 瑠大,2004.09.19,180,75,左,左,,投手,育成,2026/4/7,136,
横浜DeNAベイスターズ,140,松本 隆之介,2002.07.31,188,94,左,左,,投手,育成,2026/4/7,140,
横浜DeNAベイスターズ,127,上甲 凌大,2001.01.29,184,90,右,左,,捕手,育成,2026/4/7,127,
横浜DeNAベイスターズ,130,近藤 大雅,2005.09.18,174,87,右,右,,捕手,育成,2026/4/7,130,
横浜DeNAベイスターズ,125,小笠原 蒼,2005.10.20,180,96,右,左,,内野手,育成,2026/4/7,125,
横浜DeNAベイスターズ,129,西巻 賢二,1999.04.22,167,70,右,右,,内野手,育成,2026/4/7,129,
横浜DeNAベイスターズ,131,清水 詩太,2007.09.27,181,75,右,右,,内野手,育成,2026/4/7,131,
横浜DeNAベイスターズ,193,高見澤 郁魅,2006.01.18,183,85,右,左,,内野手,育成,2026/4/7,193,
横浜DeNAベイスターズ,155,小針 大輝,2006.10.10,192,88,左,左,,外野手,育成,2026/4/7,155,
広島東洋カープ,11,齊藤 汰直,2003.12.07,183,90,右,右,,投手,支配下,2026/4/7,11,
広島東洋カープ,13,森浦 大輔,1998.06.15,175,78,左,左,,投手,支配下,2026/4/7,13,TRUE
広島東洋カープ,14,大瀬良 大地,1991.06.17,188,94,右,右,,投手,支配下,2026/4/7,14,
広島東洋カープ,16,森 翔平,1998.01.01,177,86,左,左,,投手,支配下,2026/4/7,16,
広島東洋カープ,17,常廣 羽也斗,2001.09.18,180,82,右,右,,投手,支配下,2026/4/7,17,
広島東洋カープ,18,森下 暢仁,1997.08.25,181,81,右,右,,投手,支配下,2026/4/7,18,TRUE
広島東洋カープ,19,床田 寛樹,1995.03.01,181,94,左,左,,投手,支配下,2026/4/7,19,TRUE
広島東洋カープ,20,栗林 良吏,1996.07.09,177,88,右,右,,投手,支配下,2026/4/7,20,
広島東洋カープ,21,中﨑 翔太,1992.08.10,187,101,右,右,,投手,支配下,2026/4/7,21,TRUE
広島東洋カープ,22,髙 太一,2001.07.26,179,89,左,左,,投手,支配下,2026/4/7,22,TRUE
広島東洋カープ,24,黒原 拓未,1999.11.29,173,83,左,左,,投手,支配下,2026/4/7,24,TRUE
広島東洋カープ,26,益田 武尚,1998.10.06,174,86,右,右,,投手,支配下,2026/4/7,26,
広島東洋カープ,28,佐藤 柳之介,2002.11.01,179,88,左,左,,投手,支配下,2026/4/7,28,
広島東洋カープ,29,ケムナ 誠,1995.06.05,190,98,右,右,,投手,支配下,2026/4/7,29,
広島東洋カープ,30,滝田 一希,2001.12.28,183,89,左,左,,投手,支配下,2026/4/7,30,
広島東洋カープ,34,高橋 昂也,1998.09.27,182,91,左,左,,投手,支配下,2026/4/7,34,
広島東洋カープ,35,工藤 泰己,2003.09.29,175,87,右,右,,投手,支配下,2026/4/7,35,
広島東洋カープ,36,塹江 敦哉,1997.02.21,178,89,左,左,,投手,支配下,2026/4/7,36,
広島東洋カープ,38,赤木 晴哉,2003.10.05,191,86,右,右,,投手,支配下,2026/4/7,38,
広島東洋カープ,39,長谷部 銀次,1998.07.29,184,90,左,左,,投手,支配下,2026/4/7,39,
広島東洋カープ,41,鈴木 健矢,1997.12.11,176,80,右,左,,投手,支配下,2026/4/7,41,TRUE
広島東洋カープ,42,ターノック,1998.11.24,193,105,右,右,,投手,支配下,2026/4/7,42,TRUE
広島東洋カープ,43,島内 颯太郎,1996.10.14,180,84,右,右,,投手,支配下,2026/4/7,43,
広島東洋カープ,45,松本 竜也,1999.09.18,178,100,右,右,,投手,支配下,2026/4/7,45,
広島東洋カープ,46,髙木 快大,2004.03.19,180,80,右,右,,投手,支配下,2026/4/7,46,
広島東洋カープ,47,斉藤 優汰,2004.05.27,189,99,右,左,,投手,支配下,2026/4/7,47,
広島東洋カープ,48,アドゥワ 誠,1998.10.02,196,80,右,右,,投手,支配下,2026/4/7,48,
広島東洋カープ,53,岡本 駿,2002.06.12,186,89,右,左,,投手,支配下,2026/4/7,53,TRUE
広島東洋カープ,65,玉村 昇悟,2001.04.16,179,89,左,左,,投手,支配下,2026/4/7,65,TRUE
広島東洋カープ,66,遠藤 淳志,1999.04.08,186,90,右,右,,投手,支配下,2026/4/7,66,TRUE
広島東洋カープ,67,菊地 ハルン,2007.01.21,200,117,右,右,,投手,支配下,2026/4/7,67,
広島東洋カープ,68,ハーン,1994.08.30,198,118,左,左,,投手,支配下,2026/4/7,68,TRUE
広島東洋カープ,70,日髙 暖己,2004.09.16,183,75,右,左,,投手,支配下,2026/4/7,70,
広島東洋カープ,98,辻 大雅,2004.08.29,182,88,左,左,,投手,支配下,2026/4/7,98,TRUE
広島東洋カープ,27,會澤 翼,1988.04.13,175,95,右,右,,捕手,支配下,2026/4/7,27,
広島東洋カープ,31,坂倉 将吾,1998.05.29,177,91,右,左,,捕手,支配下,2026/4/7,31,TRUE
広島東洋カープ,32,石原 貴規,1998.02.03,173,88,右,右,,捕手,支配下,2026/4/7,32,TRUE
広島東洋カープ,57,持丸 泰輝,2001.10.26,177,91,右,左,,捕手,支配下,2026/4/7,57,TRUE
広島東洋カープ,62,清水 叶人,2004.07.06,176,92,右,左,,捕手,支配下,2026/4/7,62,
広島東洋カープ,64,髙木 翔斗,2003.08.12,188,93,右,右,,捕手,支配下,2026/4/7,64,
広島東洋カープ,0,羽月 隆太郎,2000.04.19,168,70,右,左,2/25 自由契約,内野手,支配下,2026/4/7,0,
広島東洋カープ,0,勝田 成,2003.06.21,163,70,右,左,,内野手,支配下,2026/4/7,0,TRUE
広島東洋カープ,4,矢野 雅哉,1998.12.16,171,72,右,左,,内野手,支配下,2026/4/7,4,TRUE
広島東洋カープ,5,小園 海斗,2000.06.07,178,92,右,左,,内野手,支配下,2026/4/7,5,TRUE
広島東洋カープ,7,堂林 翔太,1991.08.17,184,94,右,右,,内野手,支配下,2026/4/7,7,
広島東洋カープ,10,佐々木 泰,2002.12.24,178,86,右,右,,内野手,支配下,2026/4/7,10,TRUE
広島東洋カープ,33,菊池 涼介,1990.03.11,171,71,右,右,,内野手,支配下,2026/4/7,33,TRUE
広島東洋カープ,44,林 晃汰,2000.11.16,181,100,右,左,,内野手,支配下,2026/4/7,44,
広島東洋カープ,49,渡邉 悠斗,2002.07.07,182,100,右,右,,内野手,支配下,2026/4/7,49,
広島東洋カープ,54,西川 篤夢,2007.12.28,184,77,右,左,,内野手,支配下,2026/4/7,54,
広島東洋カープ,58,仲田 侑仁,2005.07.31,187,103,右,右,,内野手,支配下,2026/4/7,58,
広島東洋カープ,63,内田 湘大,2004.09.22,183,97,右,右,,内野手,支配下,2026/4/7,63,
広島東洋カープ,69,辰見 鴻之介,2000.11.24,176,67,右,右,,内野手,支配下,2026/4/7,69,
広島東洋カープ,93,前川 誠太,2003.04.04,176,66,右,右,,内野手,支配下,2026/4/7,93,TRUE
広島東洋カープ,94,佐藤 啓介,2001.05.24,182,93,右,左,,内野手,支配下,2026/4/7,94,TRUE
広島東洋カープ,95,モンテロ,1998.08.17,190,106,右,右,,内野手,支配下,2026/4/7,95,TRUE
広島東洋カープ,99,二俣 翔一,2002.10.21,180,78,右,右,,内野手,支配下,2026/4/7,99,TRUE
広島東洋カープ,9,秋山 翔吾,1988.04.16,186,86,右,左,,外野手,支配下,2026/4/7,9,
広島東洋カープ,37,野間 峻祥,1993.01.28,182,87,右,左,,外野手,支配下,2026/4/7,37,TRUE
広島東洋カープ,51,平川 蓮,2004.03.31,187,93,右,左右,,外野手,支配下,2026/4/7,51,
広島東洋カープ,52,末包 昇大,1996.05.27,188,108,右,右,,外野手,支配下,2026/4/7,52,
広島東洋カープ,56,久保 修,2000.09.29,181,83,右,右,,外野手,支配下,2026/4/7,56,
広島東洋カープ,59,大盛 穂,1996.08.31,179,84,右,左,,外野手,支配下,2026/4/7,59,TRUE
広島東洋カープ,60,田村 俊介,2003.08.25,178,95,左,左,,外野手,支配下,2026/4/7,60,
広島東洋カープ,61,ファビアン,1998.03.06,180,92,右,右,,外野手,支配下,2026/4/7,61,TRUE
広島東洋カープ,92,名原 典彦,2000.06.24,182,82,右,右,5/21 育成選手から支配下選手へ移行,外野手,支配下,2026/4/7,92,TRUE
広島東洋カープ,96,中村 奨成,1999.06.06,181,89,右,右,,外野手,支配下,2026/4/7,96,TRUE
広島東洋カープ,97,中村 貴浩,2000.04.09,177,87,右,左,,外野手,支配下,2026/4/7,97,
広島東洋カープ,120,杉田 健,2001.08.28,188,85,右,右,,投手,育成,2026/4/7,120,
広島東洋カープ,123,小船 翼,2006.06.20,198,119,右,右,,投手,育成,2026/4/7,123,
広島東洋カープ,126,竹下 海斗,2006.11.06,180,80,左,左,,投手,育成,2026/4/7,126,
広島東洋カープ,127,河野 佳,2001.08.23,175,87,右,右,,投手,育成,2026/4/7,127,
広島東洋カープ,128,杉原 望来,2005.09.23,175,78,左,左,,投手,育成,2026/4/7,128,
広島東洋カープ,132,アリア,2001.03.20,183,75,左,左,3/14 育成選手登録,投手,育成,2026/4/7,132,
広島東洋カープ,122,安竹 俊喜,2001.04.17,178,82,右,右,,捕手,育成,2026/4/7,122,
広島東洋カープ,124,小林 結太,2004.02.15,177,82,右,左,,捕手,育成,2026/4/7,124,
広島東洋カープ,125,岸本 大希,2002.01.01,168,70,右,左,,内野手,育成,2026/4/7,125,
広島東洋カープ,130,ラミレス,2002.02.01,191,124,右,右,,内野手,育成,2026/4/7,130,
広島東洋カープ,131,ロベルト,2000.10.27,191,105,右,右,,外野手,育成,2026/4/7,131,
中日ドラゴンズ,11,中西 聖輝,2003.12.18,182,92,右,右,,投手,支配下,2026/4/7,11,
中日ドラゴンズ,13,橋本 侑樹,1998.01.08,180,80,左,左,,投手,支配下,2026/4/7,13,TRUE
中日ドラゴンズ,14,草加 勝,2001.11.21,182,77,右,右,,投手,支配下,2026/4/7,14,TRUE
中日ドラゴンズ,16,櫻井 頼之介,2003.07.21,175,68,右,右,,投手,支配下,2026/4/7,16,
中日ドラゴンズ,17,柳 裕也,1994.04.22,180,85,右,右,,投手,支配下,2026/4/7,17,TRUE
中日ドラゴンズ,19,髙橋 宏斗,2002.08.09,186,86,右,右,,投手,支配下,2026/4/7,19,
中日ドラゴンズ,20,涌井 秀章,1986.06.21,185,85,右,右,,投手,支配下,2026/4/7,20,
中日ドラゴンズ,21,金丸 夢斗,2003.02.01,177,78,左,左,,投手,支配下,2026/4/7,21,TRUE
中日ドラゴンズ,22,大野 雄大,1988.09.26,184,85,左,左,,投手,支配下,2026/4/7,22,TRUE
中日ドラゴンズ,26,仲地 礼亜,2001.02.15,177,83,右,右,,投手,支配下,2026/4/7,26,
中日ドラゴンズ,28,アブレウ,1995.09.26,188,94,右,左,1/30 支配下選手登録,投手,支配下,2026/4/7,28,TRUE
中日ドラゴンズ,29,松木平 優太,2003.02.24,180,85,右,右,,投手,支配下,2026/4/7,29,
中日ドラゴンズ,30,根尾 昂,2000.04.19,177,85,右,左,,投手,支配下,2026/4/7,30,
中日ドラゴンズ,32,伊藤 茉央,2000.11.19,176,83,右,左,,投手,支配下,2026/4/7,32,TRUE
中日ドラゴンズ,33,杉浦 稔大,1992.02.25,190,90,右,右,4/14 日本ハムより移籍,投手,支配下,2026/4/7,33,
中日ドラゴンズ,34,福 敬登,1992.06.16,181,98,左,左,,投手,支配下,2026/4/7,34,
中日ドラゴンズ,36,福田 幸之介,2005.08.11,182,88,左,左,,投手,支配下,2026/4/7,36,
中日ドラゴンズ,38,松葉 貴大,1990.08.14,179,82,左,左,,投手,支配下,2026/4/7,38,
中日ドラゴンズ,41,勝野 昌慶,1997.06.12,183,95,右,右,,投手,支配下,2026/4/7,41,
中日ドラゴンズ,46,梅野 雄吾,1999.01.13,177,90,右,右,,投手,支配下,2026/4/7,46,
中日ドラゴンズ,47,吉田 聖弥,2002.05.23,177,81,左,左,,投手,支配下,2026/4/7,47,TRUE
中日ドラゴンズ,50,清水 達也,1999.11.03,185,93,右,右,,投手,支配下,2026/4/7,50,
中日ドラゴンズ,52,篠﨑 国忠,2005.06.12,193,105,右,右,,投手,支配下,2026/4/7,52,TRUE
中日ドラゴンズ,54,藤嶋 健人,1998.05.08,177,90,右,右,,投手,支配下,2026/4/7,54,TRUE
中日ドラゴンズ,59,齋藤 綱記,1996.12.18,182,92,左,左,,投手,支配下,2026/4/7,59,TRUE
中日ドラゴンズ,61,高橋 幸佑,2006.12.31,178,87,左,左,,投手,支配下,2026/4/7,61,
中日ドラゴンズ,64,有馬 惠叶,2006.09.20,191,82,右,右,,投手,支配下,2026/4/7,64,
中日ドラゴンズ,68,牧野 憲伸,1999.09.19,181,91,左,左,3/23 育成選手から支配下選手へ移行,投手,支配下,2026/4/7,68,
中日ドラゴンズ,69,三浦 瑞樹,1999.09.02,174,81,左,右,,投手,支配下,2026/4/7,69,
中日ドラゴンズ,70,近藤 廉,1998.09.22,180,93,左,左,,投手,支配下,2026/4/7,70,
中日ドラゴンズ,90,松山 晋也,2000.06.23,188,92,右,右,,投手,支配下,2026/4/7,90,TRUE
中日ドラゴンズ,91,メヒア,1997.03.03,193,104,右,右,,投手,支配下,2026/4/7,91,
中日ドラゴンズ,93,マラー,1997.10.07,201,118,左,右,,投手,支配下,2026/4/7,93,TRUE
中日ドラゴンズ,9,石伊 雄太,2000.08.18,178,84,右,右,,捕手,支配下,2026/4/7,9,TRUE
中日ドラゴンズ,35,木下 拓哉,1991.12.18,183,95,右,右,,捕手,支配下,2026/4/7,35,
中日ドラゴンズ,39,宇佐見 真吾,1993.06.04,181,95,右,左,,捕手,支配下,2026/4/7,39,
中日ドラゴンズ,43,味谷 大誠,2003.06.14,180,88,右,左,,捕手,支配下,2026/4/7,43,TRUE
中日ドラゴンズ,49,加藤 匠馬,1992.04.29,175,85,右,右,,捕手,支配下,2026/4/7,49,TRUE
中日ドラゴンズ,58,石橋 康太,2000.12.07,181,92,右,右,,捕手,支配下,2026/4/7,58,
中日ドラゴンズ,0,辻本 倫太郎,2001.08.11,168,75,右,右,,内野手,支配下,2026/4/7,0,
中日ドラゴンズ,2,田中 幹也,2000.11.28,166,68,右,右,,内野手,支配下,2026/4/7,2,TRUE
中日ドラゴンズ,3,高橋 周平,1994.01.18,180,90,右,左,,内野手,支配下,2026/4/7,3,TRUE
中日ドラゴンズ,4,カリステ,1992.02.03,184,87,右,右,,内野手,支配下,2026/4/7,4,
中日ドラゴンズ,5,村松 開人,2001.01.06,172,80,右,左,,内野手,支配下,2026/4/7,5,TRUE
中日ドラゴンズ,7,福永 裕基,1996.09.16,180,87,右,右,,内野手,支配下,2026/4/7,7,TRUE
中日ドラゴンズ,23,サノー,1993.05.11,196,126,右,右,1/30 支配下選手登録,内野手,支配下,2026/4/7,23,TRUE
中日ドラゴンズ,25,石川 昂弥,2001.06.22,186,100,右,右,,内野手,支配下,2026/4/7,25,TRUE
中日ドラゴンズ,31,森 駿太,2006.12.25,188,93,右,左,,内野手,支配下,2026/4/7,31,
中日ドラゴンズ,45,土田 龍空,2002.12.30,180,80,右,左,,内野手,支配下,2026/4/7,45,TRUE
中日ドラゴンズ,48,阿部 寿樹,1989.12.03,185,92,右,右,,内野手,支配下,2026/4/7,48,TRUE
中日ドラゴンズ,56,新保 茉良,2003.11.29,183,76,右,左,,内野手,支配下,2026/4/7,56,
中日ドラゴンズ,60,山本 泰寛,1993.10.10,176,76,右,右,,内野手,支配下,2026/4/7,60,TRUE
中日ドラゴンズ,63,板山 祐太郎,1994.03.27,180,88,右,左,,内野手,支配下,2026/4/7,63,TRUE
中日ドラゴンズ,65,知野 直人,1999.02.16,182,85,右,右,,内野手,支配下,2026/4/7,65,
中日ドラゴンズ,95,ロドリゲス,2002.03.31,189,90,右,右,,内野手,支配下,2026/4/7,95,
中日ドラゴンズ,97,樋口 正修,1998.11.17,177,76,右,左,,内野手,支配下,2026/4/7,97,
中日ドラゴンズ,0,尾田 剛樹,2000.08.03,175,77,左,左,,外野手,支配下,2026/4/7,0,TRUE
中日ドラゴンズ,1,岡林 勇希,2002.02.22,175,75,右,左,,外野手,支配下,2026/4/7,1,TRUE
中日ドラゴンズ,8,大島 洋平,1985.11.09,176,75,左,左,,外野手,支配下,2026/4/7,8,
中日ドラゴンズ,24,ボスラー,1993.09.06,186,98,右,左,,外野手,支配下,2026/4/7,24,
中日ドラゴンズ,42,ブライト 健太,1999.05.07,184,92,右,右,,外野手,支配下,2026/4/7,42,
中日ドラゴンズ,44,川越 誠司,1993.06.30,174,80,左,左,,外野手,支配下,2026/4/7,44,
中日ドラゴンズ,51,上林 誠知,1995.08.01,185,90,右,左,,外野手,支配下,2026/4/7,51,
中日ドラゴンズ,55,細川 成也,1998.08.04,179,98,右,右,,外野手,支配下,2026/4/7,55,TRUE
中日ドラゴンズ,57,花田 旭,2003.04.23,187,87,右,右,,外野手,支配下,2026/4/7,57,
中日ドラゴンズ,66,鵜飼 航丞,1999.05.30,183,100,右,右,,外野手,支配下,2026/4/7,66,TRUE
中日ドラゴンズ,67,能戸 輝夢,2007.05.15,184,82,右,左,,外野手,支配下,2026/4/7,67,
中日ドラゴンズ,203,井上 剣也,2006.12.20,178,82,右,右,,投手,育成,2026/4/7,203,
中日ドラゴンズ,204,森 博人,1998.05.25,177,87,右,右,,投手,育成,2026/4/7,204,
中日ドラゴンズ,205,土生 翔太,2001.03.10,180,93,右,右,,投手,育成,2026/4/7,205,
中日ドラゴンズ,211,梅津 晃大,1996.10.24,189,100,右,右,,投手,育成,2026/4/7,211,
中日ドラゴンズ,213,森山 暁生,2005.01.11,183,90,左,左,,投手,育成,2026/4/7,213,
中日ドラゴンズ,219,マルティネス,2003.09.28,177,72,左,左,,投手,育成,2026/4/7,219,
中日ドラゴンズ,206,山浅 龍之介,2004.04.21,175,85,右,左,,捕手,育成,2026/4/7,206,
中日ドラゴンズ,215,日渡 騰輝,2004.09.20,174,90,右,左,,捕手,育成,2026/4/7,215,
中日ドラゴンズ,202,中村 奈一輝,2006.08.16,184,76,右,右,,内野手,育成,2026/4/7,202,
中日ドラゴンズ,207,津田 啓史,2002.11.23,181,88,右,右,,内野手,育成,2026/4/7,207,
中日ドラゴンズ,216,石川 大峨,2007.08.01,187,92,右,右,,内野手,育成,2026/4/7,216,
中日ドラゴンズ,218,川上 理偉,2001.03.10,178,85,右,右,,内野手,育成,2026/4/7,218,
中日ドラゴンズ,209,福元 悠真,1999.12.01,180,85,右,右,,外野手,育成,2026/4/7,209,
中日ドラゴンズ,217,三上 愛介,2004.06.14,173,75,右,左,,外野手,育成,2026/4/7,217,
東京ヤクルトスワローズ,11,キハダ,1995.11.09,180,97,左,左,1/30 支配下選手登録,投手,支配下,2026/4/7,11,TRUE
東京ヤクルトスワローズ,12,石山 泰稚,1988.09.01,182,83,右,右,,投手,支配下,2026/4/7,12,
東京ヤクルトスワローズ,15,中村 優斗,2003.02.08,176,86,右,左,,投手,支配下,2026/4/7,15,
東京ヤクルトスワローズ,17,清水 昇,1996.10.15,180,95,右,左,,投手,支配下,2026/4/7,17,TRUE
東京ヤクルトスワローズ,18,奥川 恭伸,2001.04.16,184,82,右,右,,投手,支配下,2026/4/7,18,TRUE
東京ヤクルトスワローズ,19,石川 雅規,1980.01.22,167,73,左,左,,投手,支配下,2026/4/7,19,
東京ヤクルトスワローズ,20,木澤 尚文,1998.04.25,183,90,右,右,,投手,支配下,2026/4/7,20,
東京ヤクルトスワローズ,21,吉村 貢司郎,1998.01.19,183,85,右,右,,投手,支配下,2026/4/7,21,TRUE
東京ヤクルトスワローズ,24,星 知弥,1994.04.15,183,91,右,右,,投手,支配下,2026/4/7,24,TRUE
東京ヤクルトスワローズ,26,山野 太一,1999.03.24,173,81,左,左,,投手,支配下,2026/4/7,26,TRUE
東京ヤクルトスワローズ,28,松本 健吾,1999.04.14,180,83,右,右,,投手,支配下,2026/4/7,28,TRUE
東京ヤクルトスワローズ,29,小川 泰弘,1990.05.16,172,82,右,右,,投手,支配下,2026/4/7,29,
東京ヤクルトスワローズ,30,荘司 宏太,2000.05.22,172,90,左,左,,投手,支配下,2026/4/7,30,
東京ヤクルトスワローズ,33,山崎 太陽,2003.07.06,193,87,右,右,,投手,支配下,2026/4/7,33,
東京ヤクルトスワローズ,34,田口 麗斗,1995.09.14,171,79,左,左,,投手,支配下,2026/4/7,34,
東京ヤクルトスワローズ,35,石原 勇輝,2001.08.30,180,87,左,左,,投手,支配下,2026/4/7,35,
東京ヤクルトスワローズ,40,高梨 裕稔,1991.06.05,188,94,右,右,,投手,支配下,2026/4/7,40,
東京ヤクルトスワローズ,41,拓也,1994.12.31,176,99,右,右,,投手,支配下,2026/4/7,41,
東京ヤクルトスワローズ,43,増居 翔太,2000.05.25,173,74,左,左,,投手,支配下,2026/4/7,43,
東京ヤクルトスワローズ,44,大西 広樹,1997.11.08,175,92,右,右,,投手,支配下,2026/4/7,44,
東京ヤクルトスワローズ,45,小澤 怜史,1998.03.09,182,87,右,左,,投手,支配下,2026/4/7,45,TRUE
東京ヤクルトスワローズ,46,大道 温貴,1999.01.20,180,91,右,右,,投手,支配下,2026/4/7,46,
東京ヤクルトスワローズ,47,高橋 奎二,1997.05.14,180,83,左,左,,投手,支配下,2026/4/7,47,TRUE
東京ヤクルトスワローズ,49,鈴木 蓮吾,2007.08.18,177,70,左,左,,投手,支配下,2026/4/7,49,
東京ヤクルトスワローズ,53,長谷川 宙輝,1998.08.23,176,86,左,左,,投手,支配下,2026/4/7,53,
東京ヤクルトスワローズ,56,坂本 拓己,2004.07.06,180,85,左,左,,投手,支配下,2026/4/7,56,
東京ヤクルトスワローズ,58,ウォルターズ,1997.05.18,195,102,右,右,,投手,支配下,2026/4/7,58,
東京ヤクルトスワローズ,61,飯田 琉斗,1999.06.24,187,100,右,右,,投手,支配下,2026/4/7,61,TRUE
東京ヤクルトスワローズ,62,リランソ,1995.03.07,188,112,右,右,,投手,支配下,2026/4/7,62,TRUE
東京ヤクルトスワローズ,66,阪口 皓亮,1999.08.15,188,90,右,左,,投手,支配下,2026/4/7,66,TRUE
東京ヤクルトスワローズ,68,丸山 翔大,1998.08.22,194,90,右,左,,投手,支配下,2026/4/7,68,TRUE
東京ヤクルトスワローズ,69,下川 隼佑,2000.03.22,176,88,右,右,,投手,支配下,2026/4/7,69,
東京ヤクルトスワローズ,70,廣澤 優,2001.04.27,193,102,右,右,3/24 育成選手から支配下選手へ移行,投手,支配下,2026/4/7,70,TRUE
東京ヤクルトスワローズ,71,沼田 翔平,2000.06.24,175,80,右,右,,投手,支配下,2026/4/7,71,
東京ヤクルトスワローズ,99,青柳 晃洋,1993.12.11,183,83,右,右,,投手,支配下,2026/4/7,99,
東京ヤクルトスワローズ,2,古賀 優大,1998.08.07,177,83,右,右,,捕手,支配下,2026/4/7,2,TRUE
東京ヤクルトスワローズ,27,中村 悠平,1990.06.17,176,79,右,右,,捕手,支配下,2026/4/7,27,TRUE
東京ヤクルトスワローズ,32,松本 直樹,1993.10.17,177,82,右,右,,捕手,支配下,2026/4/7,32,TRUE
東京ヤクルトスワローズ,48,柿沼 友哉,1993.05.12,180,86,右,右,,捕手,支配下,2026/4/7,48,
東京ヤクルトスワローズ,52,橋本 星哉,2000.09.18,178,85,右,左,,捕手,支配下,2026/4/7,52,
東京ヤクルトスワローズ,57,矢野 泰二郎,2002.05.22,178,82,右,右,,捕手,支配下,2026/4/7,57,
東京ヤクルトスワローズ,65,鈴木 叶,2006.03.21,181,81,右,右,,捕手,支配下,2026/4/7,65,
東京ヤクルトスワローズ,0,赤羽 由紘,2000.06.29,176,83,右,右,,内野手,支配下,2026/4/7,0,TRUE
東京ヤクルトスワローズ,1,山田 哲人,1992.07.16,181,81,右,右,,内野手,支配下,2026/4/7,1,
東京ヤクルトスワローズ,3,内山 壮真,2002.06.30,172,76,右,右,,内野手,支配下,2026/4/7,3,
東京ヤクルトスワローズ,6,松下 歩叶,2003.04.14,181,87,右,右,,内野手,支配下,2026/4/7,6,TRUE
東京ヤクルトスワローズ,7,長岡 秀樹,2001.09.26,175,82,右,左,,内野手,支配下,2026/4/7,7,TRUE
東京ヤクルトスワローズ,8,茂木 栄五郎,1994.02.14,173,78,右,左,,内野手,支配下,2026/4/7,8,
東京ヤクルトスワローズ,10,宮本 丈,1995.04.03,181,82,右,左,,内野手,支配下,2026/4/7,10,
東京ヤクルトスワローズ,13,オスナ,1992.12.12,188,106,右,右,,内野手,支配下,2026/4/7,13,TRUE
東京ヤクルトスワローズ,37,山野辺 翔,1994.05.24,170,74,右,右,,内野手,支配下,2026/4/7,37,
東京ヤクルトスワローズ,38,石井 巧,2002.03.02,180,81,右,右,,内野手,支配下,2026/4/7,38,TRUE
東京ヤクルトスワローズ,39,松川 玲央,2004.03.26,183,81,右,左,,内野手,支配下,2026/4/7,39,
東京ヤクルトスワローズ,50,北村 恵吾,2000.12.18,182,90,右,右,,内野手,支配下,2026/4/7,50,
東京ヤクルトスワローズ,54,田中 陽翔,2006.06.25,183,88,右,左,,内野手,支配下,2026/4/7,54,
東京ヤクルトスワローズ,60,武岡 龍世,2001.05.28,179,77,右,左,,内野手,支配下,2026/4/7,60,TRUE
東京ヤクルトスワローズ,67,伊藤 琉偉,2002.09.11,180,78,右,右,,内野手,支配下,2026/4/7,67,TRUE
東京ヤクルトスワローズ,98,セデーニョ,1998.08.22,194,118,右,右,6/17 支配下選手登録,内野手,支配下,2026/4/7,98,
東京ヤクルトスワローズ,0,並木 秀尊,1999.03.23,170,72,右,右,,外野手,支配下,2026/4/7,0,
東京ヤクルトスワローズ,4,丸山 和郁,1999.07.18,174,80,左,左,,外野手,支配下,2026/4/7,4,
東京ヤクルトスワローズ,9,塩見 泰隆,1993.06.12,180,81,右,右,,外野手,支配下,2026/4/7,9,TRUE
東京ヤクルトスワローズ,25,サンタナ,1992.08.05,195,104,右,右,,外野手,支配下,2026/4/7,25,TRUE
東京ヤクルトスワローズ,31,モイセエフ ニキータ,2006.11.29,182,87,左,左,,外野手,支配下,2026/4/7,31,
東京ヤクルトスワローズ,36,西村 瑠伊斗,2004.07.01,178,80,右,左,,外野手,支配下,2026/4/7,36,
東京ヤクルトスワローズ,42,澤井 廉,2000.05.31,180,94,左,左,,外野手,支配下,2026/4/7,42,
